ADMIN,total_emissions_kg,total_emissions_Mt
Afghanistan,3064924490.729784,3.064924490729784
Albania,2408575934.649443,2.408575934649443
Algeria,78031119649.77199,78.031119649772
Angola,6236064116.673999,6.236064116673999
Antarctica,16563457.74613038,0.01656345774613038
Argentina,124590822471.09268,124.59082247109268
Armenia,3024972867.103562,3.024972867103562
Australia,287885796436.8876,287.8857964368876
Austria,72539419675.3455,72.5394196753455
Azerbaijan,29163862130.296085,29.163862130296085
Bangladesh,22272983331.748318,22.272983331748318
Belarus,62853327905.63892,62.85332790563892
Belgium,131040175010.35397,131.04017501035398
Belize,149812155.4737481,0.1498121554737481
Benin,1248033440.269187,1.248033440269187
Bhutan,373738962.8600824,0.3737389628600824
Bolivia,8643066768.729252,8.643066768729252
Bosnia and Herzegovina,5264715508.1974125,5.264715508197413
Botswana,3198583280.7391157,3.1985832807391157
Brazil,289167332899.3675,289.16733289936747
Brunei,6539069146.945971,6.5390691469459705
Bulgaria,63479508892.35591,63.47950889235591
Burkina Faso,687240697.5017031,0.6872406975017031
Burundi,288259494.6259742,0.28825949462597417
Cambodia,2177574864.2694063,2.177574864269406
Cameroon,3294092604.3835015,3.2940926043835015
Canada,497426576741.08966,497.42657674108966
Central African Republic,346811535.1201685,0.3468115351201685
Chad,389731606.0161421,0.3897316060161421
Chile,36193529695.8511,36.1935296958511
China,3294093324261.436,3294.093324261436
Colombia,59469360006.91985,59.46936000691986
Costa Rica,4771093767.801999,4.771093767801999
Croatia,17895598461.546177,17.895598461546175
Cuba,20334976121.934456,20.334976121934456
Cyprus,5417865144.137206,5.417865144137206
Czechia,149194632199.44025,149.19463219944024
Democratic Republic of the Congo,2427453844.092656,2.427453844092656
Denmark,60300652926.00294,60.30065292600294
Djibouti,493767360.7970857,0.4937673607970857
Dominican Republic,12497910003.57006,12.49791000357006
East Timor,40583603.53686873,0.040583603536868726
Ecuador,20629724463.43962,20.629724463439622
Egypt,99438803230.61302,99.43880323061302
El Salvador,4665279168.616267,4.665279168616268
Equatorial Guinea,268291321.02866036,0.2682913210286604
Eritrea,831444520.4663317,0.8314445204663318
Estonia,21052395484.581066,21.052395484581066
Ethiopia,3771485595.5774846,3.7714855955774844
Falkland Islands,24200837.296351463,0.024200837296351464
Fiji,1056105897.7150111,1.056105897715011
Finland,51790081663.44595,51.79008166344595
France,402668019512.4469,402.6680195124469
French Southern and Antarctic Lands,183648.90409544116,0.00018364890409544116
Gabon,3910838795.2960005,3.9108387952960006
Gambia,194101939.2717692,0.1941019392717692
Georgia,7225458714.977319,7.225458714977319
Germany,948422421283.2521,948.4224212832521
Ghana,4724083507.613024,4.724083507613024
Greece,77938888688.1969,77.9388886881969
Greenland,958280202.5873389,0.9582802025873389
Guatemala,7014859106.931389,7.014859106931389
Guinea,993970507.6766196,0.9939705076766197
Guinea-Bissau,230396863.4029056,0.2303968634029056
Guyana,1041616416.0461224,1.0416164160461225
Haiti,1564959663.484563,1.564959663484563
Honduras,3265028355.3914576,3.2650283553914576
Hungary,65875812563.16594,65.87581256316594
Iceland,2939118180.538592,2.9391181805385918
India,774505211332.0287,774.5052113320287
Indonesia,207425181693.49036,207.42518169349034
Iran,285089808941.7569,285.08980894175687
Iraq,101839056904.7343,101.83905690473429
Ireland,26594872978.243694,26.594872978243693
Israel,32110466713.498096,32.1104667134981
Italy,392951901495.4556,392.9519014954556
Ivory Coast,4790643459.534342,4.7906434595343415
Jamaica,8897616921.33782,8.89761692133782
Japan,1144002120682.037,1144.002120682037
Jordan,10315039277.50182,10.31503927750182
Kazakhstan,161717641729.64923,161.71764172964924
Kenya,7832517220.560043,7.832517220560043
Kosovo,10962292196.772055,10.962292196772054
Kuwait,33591553844.057953,33.591553844057955
Kyrgyzstan,7409712484.824085,7.409712484824086
Laos,1602644687.0912318,1.6026446870912319
Latvia,10991665808.880507,10.991665808880507
Lebanon,12003717855.838934,12.003717855838934
Lesotho,190329430.1905806,0.1903294301905806
Liberia,348772589.00055045,0.34877258900055047
Libya,40091922366.68632,40.09192236668632
Lithuania,14033059048.010983,14.033059048010983
Luxembourg,7371725990.409038,7.371725990409038
Macedonia,10854421741.660803,10.854421741660802
Madagascar,1368825645.8800387,1.3688256458800387
Malawi,2231414610.6049714,2.2314146106049715
Malaysia,130652805288.25562,130.65280528825562
Mali,727589532.5595566,0.7275895325595566
Mauritania,2363898157.0108757,2.3638981570108757
Mexico,329093403638.1539,329.09340363815386
Moldova,5921567611.549864,5.921567611549864
Mongolia,9565592289.871641,9.565592289871642
Montenegro,2639865936.9400964,2.6398659369400965
Morocco,29539256364.85212,29.53925636485212
Mozambique,1932524652.170848,1.932524652170848
Myanmar,8648186839.797697,8.648186839797697
Namibia,2443968418.4586854,2.4439684184586854
Nepal,2734221545.3737226,2.7342215453737224
Netherlands,187771749915.91357,187.77174991591357
New Caledonia,1658738749.966306,1.658738749966306
New Zealand,28286072858.127556,28.286072858127557
Nicaragua,3007259711.1388254,3.0072597111388255
Niger,915074911.2982246,0.9150749112982246
Nigeria,77353486626.01683,77.35348662601683
North Korea,76170334641.13596,76.17033464113595
Northern Cyprus,1070078488.5272982,1.0700784885272983
Norway,34229481422.411377,34.229481422411375
Oman,20525776219.043526,20.525776219043525
Pakistan,96173341023.98041,96.17334102398041
Palestine,4403925046.461217,4.403925046461217
Panama,4679168975.520949,4.679168975520949
Papua New Guinea,2160244431.0957937,2.160244431095794
Paraguay,4320095654.835417,4.320095654835416
Peru,28474085149.62648,28.47408514962648
Philippines,57341024789.1348,57.341024789134806
Poland,372221694258.6744,372.2216942586744
Portugal,40840211500.03814,40.84021150003814
Puerto Rico,12646913018.67553,12.64691301867553
